id,name,category,subcategory,size,description,price,price_type,image_status,image_source,image_action,suggested_filename,source_url,slug,image,priceNumber,internalPriceType,badge,moments,featured
ganash-4p,Ganash,Pasteles,Chocolate,4 porciones,"Biscuit de chocolate supreme bañado con jarabe natural de chocolate, relleno con crema Montparnasse de trufa semi-amarga y cubierto con ganash y motivos de chocolate.",$270,Precio observado en Rappi/Uber,Foto encontrada,"Catálogo 2023, página Pasteles 1 / Rappi",Recortar de catálogo o usar foto de Rappi con autorización,ganash-4p.webp,https://s3.amazonaws.com/orion-eat-app-files/orioneat-prod%2FX78QHRSvee528QgbK-catalogo-2023-w.pdf,ganash-4p,assets/products/ganash-4p.svg,270,Precio observado en Rappi/Uber,Favorito,"['cumpleanos', 'regalo', 'reunion']",True
ganash-10p,Ganash,Pasteles,Chocolate,10 porciones,"Pastel de chocolate con jarabe natural de chocolate, relleno gourmet de trufa semi-amarga y cobertura brillante de ganash con motivos de chocolate.",$780,Precio observado en Rappi/Uber,Foto encontrada,"Catálogo 2023, página Pasteles 1 / Rappi",Recortar de catálogo o usar foto de Rappi con autorización,ganash-10p.webp,https://www.rappi.com.mx/restaurantes/1923286321-montparnasse,ganash-10p,assets/products/ganash-10p.svg,780,Precio observado en Rappi/Uber,Favorito,"['cumpleanos', 'regalo', 'reunion']",True
fresas-con-crema-4p,Fresas con Crema,Pasteles,Frutales,4 porciones,"Biscuit de vainilla bañado con jarabe de tres leches, crema Montparnasse, queso delicatessen y fresas naturales, con cobertura de ganash y motivos de chocolate.",$270,Precio observado en Uber/Rappi; en algunas sucursales aparece con descuento,Foto encontrada,"Catálogo 2023, página Pasteles 1 / Uber/Rappi",Recortar de catálogo o usar foto pública con autorización,fresas-con-crema-4p.webp,https://www.ubereats.com/mx/store/pasteleria-montparnasse-los-reyes/xmiSyKA1XIawXohXDQlw9A,fresas-con-crema-4p,assets/products/fresas-con-crema-4p.svg,270,Precio observado en Uber/Rappi; en algunas sucursales aparece con descuento,Favorito,"['cumpleanos', 'regalo', 'reunion']",True
fresas-con-crema-10p,Fresas con Crema,Pasteles,Frutales,10 porciones,"Versión familiar de Fresas con Crema, ideal para cumpleaños, regalos y reuniones. Biscuit de vainilla con tres leches, crema Montparnasse, queso delicatessen y fresas naturales.",$780,Precio observado en Uber/Rappi,Foto encontrada,"Catálogo 2023, página Pasteles 1 / Uber/Rappi",Recortar de catálogo o usar foto pública con autorización,fresas-con-crema-10p.webp,https://www.ubereats.com/mx/store/pasteleria-montparnasse-los-reyes/xmiSyKA1XIawXohXDQlw9A,fresas-con-crema-10p,assets/products/fresas-con-crema-10p.svg,780,Precio observado en Uber/Rappi,Favorito,"['cumpleanos', 'regalo', 'reunion']",True
baileys-4p,Bailey's,Pasteles,Especiales,4 porciones,"Biscuit de vainilla y chocolate bañado con jarabe de tres leches sabor Bailey’s, crema Montparnasse de Bailey’s, queso delicatessen, ganash y decoración de chocolate.",$270,Precio observado en Uber,Foto encontrada,"Catálogo 2023, página Pasteles 1 / Uber/Rappi",Recortar de catálogo o usar foto pública con autorización,baileys-4p.webp,https://www.ubereats.com/mx/store/pasteleria-montparnasse-tacubaya/nGoZYPSAWeymtaZTyPlovg,baileys-4p,assets/products/baileys-4p.svg,270,Precio observado en Uber,,"['cumpleanos', 'regalo', 'reunion']",False
baileys-10p,Bailey's,Pasteles,Especiales,10 porciones,"Pastel cremoso de vainilla y chocolate con perfil Bailey’s, crema Montparnasse, queso delicatessen y cobertura de ganash con motivos de chocolate.",$780,Precio observado en Uber/Rappi,Foto encontrada,"Catálogo 2023, página Pasteles 1 / Uber/Rappi",Recortar de catálogo o usar foto pública con autorización,baileys-10p.webp,https://www.rappi.com.mx/restaurantes/1923286321-montparnasse,baileys-10p,assets/products/baileys-10p.svg,780,Precio observado en Uber/Rappi,,"['cumpleanos', 'regalo', 'reunion']",False
pinon-10p,Piñón,Pasteles,Especiales,10 porciones,"Pan de vainilla bañado con jarabe de tres leches de piñón, relleno con crema pastelera con piñones naturales y cubierto con crema de nata, motivos de chocolate y rosetas.",$590,Precio observado en Uber Navarte; también aparece variable en Rappi,Foto encontrada,"Catálogo 2023, página Pasteles 1",Recortar de catálogo,pinon-10p.webp,https://www.ubereats.com/mx-en/store/pasteleria-montparnasse-navarte/NcfKzSdbXA-QBlOYipfh3Q,pinon-10p,assets/products/pinon-10p.svg,590,Precio observado en Uber Navarte; también aparece variable en Rappi,,"['cumpleanos', 'regalo', 'reunion']",False
queso-con-chocolate-4p,Queso con Chocolate,Pasteles,Chocolate,4 porciones,"Biscuit de chocolate bañado con jarabe de vainilla hecho en casa, relleno con crema de chocolate Montparnasse y queso delicatessen.",$270,Precio observado en Rappi/Uber,Foto encontrada,"Catálogo 2023, página Pasteles 1 / Uber/Rappi",Recortar de catálogo o usar foto pública con autorización,queso-con-chocolate-4p.webp,https://www.rappi.com.mx/restaurantes/1923286321-montparnasse,queso-con-chocolate-4p,assets/products/queso-con-chocolate-4p.svg,270,Precio observado en Rappi/Uber,Favorito,"['cumpleanos', 'regalo', 'reunion']",True
queso-con-chocolate-10p,Queso con Chocolate,Pasteles,Chocolate,10 porciones,"Versión familiar de biscuit de chocolate con crema Montparnasse y queso delicatessen, decorado con chocolate blanco, de leche y varitas crujientes.",$780,Precio observado en Rappi/Uber,Foto encontrada,"Catálogo 2023, página Pasteles 1 / Uber/Rappi",Recortar de catálogo o usar foto pública con autorización,queso-con-chocolate-10p.webp,https://www.ubereats.com/mx/store/montparnasse-montevideo/lEj1iqaGXOee3T6vLD2LsQ,queso-con-chocolate-10p,assets/products/queso-con-chocolate-10p.svg,780,Precio observado en Rappi/Uber,Favorito,"['cumpleanos', 'regalo', 'reunion']",True
queso-con-chocolate-20p,Queso con Chocolate,Pasteles,Chocolate,20 porciones,"Pastel grande de chocolate con crema Montparnasse y queso delicatessen, pensado para reuniones y celebraciones con más invitados.","$1,050",Precio observado en Uber/Rappi,Foto encontrada en plataformas,"Uber/Rappi, producto 20p","Usar foto de plataforma solo con autorización; si no, usar misma foto del sabor en formato 20p como referencia",queso-con-chocolate-20p.webp,https://www.ubereats.com/mx-en/store/pasteleria-montparnasse-bosques/8dBJK2nQVYi1GbQuI-McHQ,queso-con-chocolate-20p,assets/products/queso-con-chocolate-20p.svg,1050,Precio observado en Uber/Rappi,Favorito,"['celebracion', 'cumpleanos', 'evento', 'regalo', 'reunion']",True
